"ADMIN_MENU_NEWSLETTER";"Newsletter"
"ADMIN_MENU_SUBSCRIBER";"Zapisani"
"ADMIN_MENU_SEND_NEWSLETTER";"Wysyłka"


"ADMIN_NEWSLETTER_ADD";"Dodawanie"
"ADMIN_NEWSLETTER_LIST_TOSEND";"Do wysłania"
"ADMIN_NEWSLETTER_LIST_SEND";"Wysłane"
"ADMIN_NEWSLETTER_SEND";"Jesteś pewien, że chcesz teraz wysłać ten newsletter ?"
"ADMIN_NEWSLETTER_ADD_TO_MAIL_QUEUE";"Newsletter został dodany do kolejki mail"
"ADMIN_NEWSLETTER_DELETE";"Jestes pewnien, że chcesz wykasować ten newsletter ?"
"ADMIN_NEWSLETTER_MANAGE_SUCCESS";"Akcja na wybranych elementach został przeproawdzona poprawnie"
"ADMIN_NEWSLETTER_LIST_PAUSED";"Zapauzowane"
"ADMIN_NEWSLETTER_FORM_EDIT";"Edycja newslettera"

"NEWSLETTER_FORM_NAVI_TEXT";"Treści"
"NEWSLETTER_FORM_NAVI_TOSEND";"Ustawienia"
"FORMS_ADMIN_NEWSLETTER_TITLE";"Tytuł"
"FORMS_ADMIN_NEWSLETTER_BODY";"Treść"
"FORMS_ADMIN_NEWSLETTER_TEMPLATE";"Wybierz wygląd"
"FORMS_ADMIN_NEWSLETTER_TO_SEND";"Wybierz grupę"
"ADMIN_FORMS_NEWSLETTERS_SEND_TO_ALL";"Wszyscy"
"ADMIN_FORMS_NEWSLETTERS_SEND_TO_USERS";"Użytkownicy"
"ADMIN_FORMS_NEWSLETTERS_SEND_TO_SUBSCRIBER";"Subskrybenci"
"FORMS_ADMIN_NEWSLETTER_SEND";"Zapisz"
"FORMS_ADMIN_NEWSLETTER_SENDER";"Nazwa nadawcy"
"FORMS_ADMIN_NEWSLETTER_REPLY_TO";"Email nadawcy"
"FORMS_ADMIN_NEWSLETTER_SEND_START";"Data wysłyki"

"NEWSLETTER_ADD_SUCCESS";"Newsletter został poprawnie dodany"

"TABLE_LIST_NEWSLETTER_FINISHED";"Wysłano"
"TABLE_LIST_NEWSLETTER_TITLE";"Tytuł"
"TABLE_LIST_NEWSLETTER_REPLY_TO";"Odpowiedz do"
"TABLE_LIST_NEWSLETTER_SENDER";"Nadawca"
"TABLE_LIST_NEWSLETTER_TEMPLATE";"szablon"
"TABLE_LIST_NEWSLETTER_SEND";"Wysyłka"
"TABLE_LIST_NEWSLETTER_EDIT";"Edycja"
"TABLE_LIST_NEWSLETTER_DELETE";"Usuwanie"

"TABLE_LIST_NEWSLETTER_DELETE_ACTION";"Usuń"
"TABLE_LIST_NEWSLETTER_EDIT_ACTION";"Edytuj"
"TABLE_LIST_NEWSLETTER_SEND_ACTION";"Wyślij"
"ADMIN_NEWSLETTER_FORM_ADD";"Dodawanie newslettera"
