"OFERT_HEADER_GLOBAL";"Oferta"

"TABLE_OFERT_LIST__CITY";"Miasto"
"TABLE_OFERT_LIST__ROOMS";"Liczba pokoji"
"TABLE_OFERT_LIST__STATUS";"Status"
"TABLE_OFERT_LIST__CREATED_AT";"Utworzono"
"TABLE_OFERT_LIST__EDIT";""
"TABLE_OFERT_LIST__VIEW";""
"LISTVIEW_SPECIALCOLUMN_VIEW";"Zobacz pokoje"

"OFERT_STATUS_1";"Aktywny"
"OFERT_STATUS_0";"Niekatywny"

"OFERT_BUTTON_ADD";"Dodaj"
"TABLE_OFERT_SUBMIT_ACTIVE";"Aktywny"
"TABLE_OFERT_SUBMIT_DEACTIVE";"Dezaktwuj"
"TABLE_OFERT_SUBMIT_DELETE";"Usuń"

"OFERT_FILTR_SEARCH";"Szukaj"
