"GROUPS_HEADER_GLOBAL";"Grupy"
"TABLE_GROUPS_SUBMIT_DEACTIVE";"Dezaktywuj"
"TABLE_GROUPS_SUBMIT_ACTIVE";"Aktywuj"
"TABLE_GROUPS_SUBMIT_DELETE";"Usuń"
"GROUPS_BUTTON_ADD";"Nowa"
"GROUPS_FILTR_SEARCH";"Szukaj"
"TABLE_GROUPS_LIST__NAME";"Nazwa"
"TABLE_GROUPS_LIST__STATUS";"Status"
"TABLE_GROUPS_LIST__CREATED_AT";"Dodano"
"TABLE_ATTRIBUTES_LIST__STEP";"Krok"
"TABLE_GROUPS_LIST__EDIT";""
"GROUPS_STATUS_1";"Aktywna"
"GROUPS_STATUS_0";"Nieaktywna"

"FORMS_VALUE";"Wartość (obliczenia)"
"FORMS_VIEW";"Tekst (wyświetlane)"

"TABLE_ATTRIBUTES_LIST__VALUE";"Wartość (obliczenia)"
"TABLE_ATTRIBUTES_LIST__VIEW";"Tekst (wyświetlanie)"
