SITE_HEADER_TITLE;"KONFIGURATOR ZESPOLEŃ AKUSTYCZNYCH"
SITE_ACOUSTIC_INSULATION_REQUIRED;"WYMAGANA IZOLACYJNOŚĆ AKUSTYCZNA"
SITE_SEARCH_RESULTS;"WYNIKI WYSZUKIWANIA"
SITE_COMMENTS;UWAGI
SITE_DATE_GENERATION;"Data wygenerowania"
SITE_INFO;"1. Właściwości akustyczne wszystkich prezentowanych produktów potwierdzone są testami przeprowadzonymi w notyfikowanych jednostkach badawczych.<br> 2.       Jeśli w konstrukcji szyby nie podano informacji o rodzaju zastosowanej ramki dystansowej, parametry zachowują ważność dla wszystkich typów ramek. <br>
3. Przestrzenie międzyszybowe wszystkich testowanych szyb zespolonych wypełnione są argonem. Parametry zachowują ważność również dla szyb zespolonych z kryptonem.<br>
4. Parametry zachowują ważność dla wszystkich szyb wykonanych z płaskiego szkła sodowo-wapniowo-krzemianowego, produkowanego metodą float.<br>5. Wartości Rw, C i Ctr zostaną również potwierdzone dla szyb produkowanych w których zastosowano następujące zmiany konstrukcyjne:<br> -  poszerzenie przestrzeni międzyszybowych<br> -  zwiększenie ilości folii w szybach warstwowych<br> - naniesienie na powierzchni szyby emalii lub nadruku<br> - hartowanie, wzmacnianie termiczne, test HST<br> - zmiana powłoki Thermofloat na inną, lub jej brak<br>6. Podane parametry nie mogą być stosowane dla szyb ze szkłem ornamentowym.<br>7. W opisach szyb użyto następujących oznaczeń:<br>  X/Y/X ; X/Y/X/Y/X –opis szyb zespolonych jedno i dwukomorowych, w którym jako  „X” wyrażone są grubości kolejnych szkieł składowych, a jako „Y” szerokości przestrzeni międzyszybowych wypełnionych gazem. Grubości podane są w minimetrach.<br>   (VSG XX.Z) – szyba warstwowa laminowana VSG, składającą się z dwóch szyb monolitycznych o grubości „X” wyrażonej w minimetrach, przedzielonych „Z” warstwami folii.<br>  Argon (Ar), Krypton (Kr) – gaz wypełniający komory międzyszybowe<br>  T – powłoka ciepłochronna Thermofloat naniesiona na szybę<br>  Float – Rodzaj zastosowanej szyby pojedynczej"

SITE_MOBILE_POPUP_ONLINE;ONLINE
SITE_MOBILE_POPUP_PRINT;DRUKUJ
SITE_MOBILE_POPUP_OPEN;OTWÓRZ
