
"ADMIN_ACCOUNT_FOREGET_PASSWORD";"Resetowanie hasła"
"ADMIN_LOGIN";"Logowanie do panelu administracyjnego"
"ACCOUNT_REMAIND";"Przypomnienie hasła"
"APPLICATION_VERSION";"Wersja Oriona:"
"ADMIN_FORM_LOGIN_PASSWORD";"Hasło"
"ADMIN_FORM_LOGIN_SUBMIT";"Zaloguj"
"ADMIN_FORM_LOGIN_LOGIN";"Email"
"ADMIN_ACCOUNT_LOGIN";"Logowanie"
"ADMIN_FORM_FOREGETPASSWORD_SUBMIT";"Wyślij"
"ACCOUNT_EMAIL_NON_EXIST";"Podany email nie istnieje w bazie danych"
"ACCOUNT_EMAIL_SEND_INFO";"Na podany adress został przesłany email z linkiem do zresetowania hasła"
"ADMIN_ACCOUNT_RESET_PASSWORD";"Formularz resetowania hasła"
"ACCOUNT_PASSWORD_RESET";"Hasło"
"ACCOUNT_PASSWORD_RESET_CONFIRM";"Powtórz hasło"
"ADMIN_FORM_RESET_SUBMIT";"Zapisz"
"ADMIN_PASSWORD_RESET_TOKEN_IS_NOT_ACTIVE";"Klucz stracił ważność. Wygeneruj nowy, klikając w Przypomnienie hasła"
"ACCOUNT_ADMIN_PASSWORD_CHANGE_SUCCESS";"Resetowanie hasła przebiegło pomyślnie"

"TABLE_SELECT_ACTION";"Wybierz akcję"
"TABEL_ACTION";"Wykonaj"
"TABLE_ITEMS_PER_PAGE";"Ilość elementów na stronie"
"PAGINTOR_START";"Początek"
"PAGINTOR_END";"Koniec"
"PAGINTOR_PAGE";"Strona"
"PAGINTOR_OF";"z"

"TABLE_STATUS_BANNED";"Zablokuj"
"TABLE_STATUS_ACTIVE";"Ustaw status na <b>aktywny</b>"
"TABLE_STATUS_INACTIVE";"Ustaw status na <b>nieaktywny</b>"
"TABLE_STATUS_DELETED";"<b>Wykasuj</b>"
"TABLE_STATUS_SENT";"Wyślij"
"TABLE_STATUS_PAUSED";"Zapauzuj"

"TABLE_STATUS_NEW";"Ustaw status na <b>nowy</b>"
"TABLE_STATUS_READED";"Ustaw status na <b>przeczytany</b>"
"TABLE_STATUS_ANSWERED";"Ustaw status na <b>odpowiedziany</b>"
"answered";"Odpowiedziane"
"new";"Nowe"
"FORMS_ADMIN_CATEGORIES_NAME";"Nazwa strony"
"FORMS_ADMIN_CATEGORIES_META_TITLE";"Tytuł"
"FORMS_ADMIN_CATEGORIES_META_KEYWORDS";"Słowa kluczowe"
"FORMS_ADMIN_CATEGORIES_META_DESCRIPTION";"Opis"
"FORMS_ADMIN_CATEGORIES_SAVE";"Zapisz"

