"ANASTOMOSIS_HEADER_GLOBAL";"Zespolenia"
"TABLE_ANASTOMOSIS_SUBMIT_DEACTIVE";"Dezaktywuj"
"TABLE_ANASTOMOSIS_SUBMIT_ACTIVE";"Aktywuj"
"TABLE_ANASTOMOSIS_SUBMIT_DELETE";"Usuń"
"ANASTOMOSIS_BUTTON_ADD";"Nowa"
"ANASTOMOSIS_FILTR_SEARCH";"Szukaj"
"TABLE_ANASTOMOSIS_LIST__NAME";"Nazwa"
"TABLE_ANASTOMOSIS_LIST__STATUS";"Status"
"TABLE_ANASTOMOSIS_LIST__CREATED_AT";"Dodano"
"TABLE_ANASTOMOSIS_LIST__EDIT";""
"ANASTOMOSIS_STATUS_1";"Aktywna"
"ANASTOMOSIS_STATUS_0";"Nieaktywna"
"TABLE_ANASTOMOSIS_LIST__TYPE";"Typ"

"ANASTOMOSIS_ANA__1";"Szyby pojedyncze"
"ANASTOMOSIS_ANA__2";"Szyby zespolone jednokomorowe"
"ANASTOMOSIS_ANA__3";"Szyby zespolone dwukomorowe"
