Rw,C,RwC,Ctr,RwCtr,STC,OITC,nazwa EN,nazwa US,glass 1,gI,PVBI,spacer 1,S,glass 2,g II,PVB II,spacer 2,SII,glass 3,g III PVB III,,Laminat akustyczny,mm,kg/m2,Certyfikat,Certyfikat
31,-2,29,-5,26,,,4/16/4T,,4,4,,16 Ar,16,4,4,,-,,-,,,nie,"24,00","20,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT_Rosenheim_Rw31_4-16Ar-4_en.pdf,
33,-1,32,-4,29,33,27,6/12/6T,6/12/6,6,6,,12 Ar,12,6,6,,-,,-,,,nie,"24,00","30,00",https://www.pressglass.com/wp-content/uploads/2019/10/CSI_Rw_33_IGU_6-12-6_269-19_EN.pdf,
34,-1,33,-5,29,,,6/16/4T,,6,6,,16 Ar,16,4,4,,-,,-,,,nie,"26,00","25,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw34-6-16Ar-4-ang.pdf,https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw34-6-16Ar-4-pol.pdf
34,-1,33,-5,29,,,"6,4 (VSG 33.1)/16/4T",,33.1,6,"0,38",16 Ar,16,4,4,,-,,-,,,nie,"26,38","25,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw34-33.1-16Ar-4T-en.pdf,
34,-1,33,-4,30,34,27,8T/16/8,8/16/8,8,8,,16 Ar,16,8,8,,-,,-,,,nie,"32,00","40,00",https://pressglass.com/wp-content/uploads/2019/02/Gryfitlab_Rw34_IGU_8-16-8-en.pdf,https://pressglass.com/wp-content/uploads/2019/02/Gryfitlab_Rw34_IGU_8-16-8.pdf
35,-3,32,-7,28,,,"6/16/6,4T (VSG 33.1T)",,6,6,,16 Ar,16,33.1,6,"0,38",-,,-,,,nie,"28,38","30,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw35-6-16Ar-33.1-swiadectwo-j.-angielski.pdf,
35,-2,33,-6,29,35,27,"6,4 (VSG 33.1)/12/6,4T (VSG 33.1T)","6,4 (Lami. 33.1)/12/6,4 (Lami. 33.1)",33.1,6,"0,38",12 Ar,12,33.1,6,"0,38",-,,-,,,nie,"24,76","30,00",https://www.pressglass.com/wp-content/uploads/2016/07/GLA-1255_1_16_Evidence_of_performance_glass_33_1-12-33_1.pdf,
36,-2,34,-6,30,,,8/16/4T,,8,8,,16 Ar,16,4,4,,-,,-,,,nie,"28,00","30,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw36-8-16Ar-4-ang.pdf,https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw36-8-16Ar-4-pol.pdf
36,-1,35,-5,31,,,8/18/4T,,8,8,,18 Ar,18,4,4,,-,,-,,,nie,"30,00","30,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw36-8-18Ar-4-ang.pdf,
36,-1,35,-5,31,,,8/20/5T,,8,8,,20 Ar,20,5,5,,-,,-,,,nie,"33,00","32,50",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw36-8-20-5T-en.pdf,
