,Rw,C,RwC,Ctr,RwCtr,STC,OITC,Nazwa EN,Nazwa US,glass 1,g I,PVB I,spacer 1,S I,glass 2,g II,PVB II,spacer 2,S II,glass 3,g II, PVB II,Laminat akustyczny,mm,kg/m2,Certificate,Certificate
,31,-1,30,-5,26,,,4T/10 Termo/4/10 Termo/4T,,4,4,,10 Ar,10,4,4,,10 Ar,10,4,4,,nie,"32,00","30,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw31-4-10Termo-4-10Termo-4-en.pdf,
,33,-2,31,-5,28,33,25,4T/12/4/12/4T,4/12/4/12/4,4,4,,12 Ar,12,4,4,,12 Ar,12,4,4,,nie,"36,00","30,00",https://pressglass.com/wp-content/uploads/2016/10/Rw_33_Evidence_of_perf._GLA-1277_4-16_ENG-4-12-4-12-4.pdf,https://pressglass.com/wp-content/uploads/2016/10/Rw_33_potw_wyniku_GLA-1277_4-16-POL_4-12-4-12-4.pdf
,35,-2,33,-7,28,,,6T/12/3/12/4T,,6,6,,12 Ar,12,3,3,,12 Ar,12,4,4,,nie,"37,00","32,50",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw35-6-12-3-12-4en.pdf,
,35,-1,34,-6,29,35,26,"4T/12/4/12/6,4T (VSG 33.1T)","4/12/4/12/6,4 (Lami. 33.1)",4,4,,12 Ar,12,4,4,,12 Ar,12,33.1,6,"0,38",nie,"38,38","35,00",https://www.pressglass.com/wp-content/uploads/2016/07/GLA-1255_4_16_Evidence_of_performance_glass_4-12-4-12-33.1.pdf,
,35,-2,33,-7,28,35,25,6T/12/6/12/6T,6/12/6/12/6,6,6,,12 Ar,12,6,6,,12 Ar,12,6,6,,nie,"42,00","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/GLA-1255_7_16_Evidence_of_performance_glass_6-12-6-12-6.pdf,
,36,-2,34,-7,29,,,"8,8T (VSG 44.2T)/12/4/12/4T",,44.2,8,"0,76",12 Ar,12,4,4,,12 Ar,12,4,4,,nie,"40,76","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw36-44.2T-12-4-12-4T-en.pdf,
,36,-2,34,-6,30,,,6T/12/5/12/4T,,6,6,,12 Ar,12,5,5,,12 Ar,12,4,4,,nie,"39,00","37,50",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw36-6T-12-5-12-4T-en.pdf,
,36,-2,34,-6,30,,,"6,4T (VSG 33.1T)/12/6/12/4T",,33.1,6,"0,38",12 Ar,12,6,6,,12 Ar,12,4,4,,nie,"40,38","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw36-VSG-33.1T-12-6-12-4T-en.pdf,
1,36,-2,34,-6,30,36,27,6T/12/4/12/4T,6/12/4/12/4,6,6,,12 Ar,12,4,4,,12 Ar,12,4,4,,nie,"38,00","35,00",https://pressglass.com/wp-content/uploads/2016/12/Gryfitlab_Rw_36_6-12-4-12-4-eng2.pdf,https://pressglass.com/wp-content/uploads/2016/12/Gryfitlab_Rw_36_6-12-4-12-4-pol2.pdf
2,37,-2,35,-6,31,,,8T/12/6/12 /6T,,8,8,,12 Ar,12,6,6,,12 Ar,12,6,6,,nie,"44,00","50,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw37-8T-12Ar-6-12Ar-6T-en.pdf,
3,37,-2,35,-6,31,,,"6,4T (VSG 33.1T) Acoustic/12/6/12/4T",,33.1 A,6,"0,5",12 Ar,12,6,6,,12 Ar,12,4,4,,tak,"40,50","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw37-33.1T-12Ar-6-12Ar-4T-en.pdf,
4,37,-3,34,-8,29,,,"6,4T (VSG 33.1T)/12/4/12/6,4T (VSG 33.1T)",,33.1,6,"0,38",12 Ar,12,4,4,,12 Ar,12,33.1,6,"0,38",nie,"40,76","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw37-33.1T-12Ar-4-12Ar-33.1T-en.pdf,
5,38,-1,37,-5,33,,,8T/12/4/12/6T,,8,8,,12 Ar,12,4,4,,12 Ar,12,6,6,,nie,"42,00","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw38-8T-12-4-12-6T-en.pdf,
6,39,-2,37,-8,31,,,"8,8T (VSG 44.2T)/12/4/12/6,4T (VSG 33.1T)",,44.2,8,"0,76",12 Ar,12,4,4,,12 Ar,12,33.1,6,"0,38",nie,"43,14","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw39-VSG44.2-12Ar-4-12Ar-VSG33.1-en.pdf,
7,39,-2,37,-7,32,,,	10/12/6/12/4,,10,10,,12 Ar,12,6,6,,12 Ar,12,4,4,,nie,"44,00","50,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw39-10-12-6-12-4-en.pdf,
8,39,-3,36,-8,31,,,"8T/12/8/12/6,8T (VSG 33.2T)",,8,8,,12 Ar,12,8,8,,12 Ar,12,33.2,6,"0,76",nie,"46,76","55,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw39-8T-12-8-12-VSG33.2T-en.pdf,
9,39,-3,36,-8,31,39,28,"8,8T (VSG 44.2T)/12/4/12/8,8T (VSG 44.2T)","8,8 (Lami. 44.2)/12/4/12/8,8 (Lami. 44.2)",44.2,8,"0,76",12 Ar,12,4,4,,12 Ar,12,44.2,8,"0,76",nie,"45,52","50,00",https://www.pressglass.com/wp-content/uploads/2016/07/GLA-1255_6_16_Evidence_of_performance_glass_44.2-12-4-12-44.2.pdf,
10,40,-2,38,-7,33,,,"9,5T (44.4T)/12/6/12/6T",,44.4,8,"0,76",12 Ar,12,6,6,,12 Ar,12,6,6,,nie,"44,76","50,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw40-44.4T-12-6-12-6T-en.pdf,
11,40,-2,38,-8,32,,,"6T/14/4/14/ 9,5T (VSG 44.4T)",,6,6,,14 Ar,14,4,4,,14 Ar,14,44.4,8,"1,52",nie,"47,52","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw40-6T-14-4-14-44.4T-en.pdf,
12,40,-3,37,-8,32,39,29,"8,8T (VSG 44.2T)/12/6/12/8,8T (VSG 44.2T)","8,8 (Lami. 44.2)/12/6/12/8,8 (Lami. 44.2)",44.2,8,"0,76",12 Ar,12,6,6,,12 Ar,12,44.2,8,"0,76",nie,"47,52","55,00",https://www.pressglass.com/wp-content/uploads/2016/07/GLA-1255_5_16_Evidence_of_performance_glass_44.2-12-6-12-44.2.pdf,
13,40,-2,38,-7,33,40,30,"6T/12/6/12/8,8T (VSG 44.2T)","6/12/6/12/8,8 (Lami. 44.2)",6,6,,12 Ar,12,6,6,,12 Ar,12,44.2,8,"0,76",nie,"44,76","50,00",https://pressglass.com/wp-content/uploads/2016/12/Gryfitlab_Rw_40_6-12-6-12-44.2-eng1.pdf,https://pressglass.com/wp-content/uploads/2016/12/Gryfitlab_Rw_40_6-12-6-12-44.2-pol1.pdf
14,41,-3,38,-8,33,41,30,"6T/12/6/12/8,8T (VSG 44.2T) Acoustic","6/12/6/12/8,8 (Lami. 44.2) Acoustic",6,6,,12 Ar,12,6,6,,12 Ar,12,44.2 A ,8,"0,76",tak,"44,76","50,00",https://www.pressglass.com/wp-content/uploads/2017/06/Gryfitlab_Rw_41_6-12-6-12-44.2aku-eng.pdf,https://pressglass.com/wp-content/uploads/2017/06/Gryfitlab_Rw_41_6-12-6-12-44.2aku-pol.pdf
15,41,-3,38,-8,33,41,29,"6T/12/4/12/8,8T (VSG 44.2T)","6/12/4/12/8,8 (Lami. 44.2)",6,6,,12 Ar,12,4,4,,12 Ar,12,44.2,8,"0,76",nie,"42,76","45,00",https://pressglass.com/wp-content/uploads/2017/05/Gryfitlab_Rw_41_IGU_6-12-4-12-8.76-en.pdf,https://pressglass.com/wp-content/uploads/2017/05/Gryfitlab_Rw_41_IGU_6-12-4-12-8.76-pl.pdf
16,41,-1,40,-5,36,41,33,"8,8T (VSG 44.2T) Acoustic/12/6/12/4T","8,8 (Lami. 44.2) Acoustic/12/6/12/4",44.2 A,8,"0,76",12 Ar,12,6,6,,12 Ar,12,4,4,,tak,"42,76","45,00",https://pressglass.com/wp-content/uploads/2018/10/CSI_Rw_41_IGU_44.2a-12-6-12-4_en.pdf,
17,41,-1,40,-6,35,42,32,10T/14/4/14/6T,10/14/4/14/6,10,10,,14 Ar,14,4,4,,14 Ar,14,6,6,,nie,"48,00","50,00",https://www.pressglass.com/wp-content/uploads/2020/08/Gryfitlab_Rw_41_IGU_10-14-4-14-6_EN.pdf,https://www.pressglass.com/wp-content/uploads/2020/08/Gryfitlab_Rw_41_IGU_10-14-4-14-6_PL.pdf
18,41,-1,40,-5,36,41,33,"8T/14/4/14/8,4T (VSG 44.1T)","8/14/4/14/8,4 (Lami. 44.1)",8,8,,14 Ar,14,4,4,,14 Ar,14,44.1,8,"0,38",nie,"48,38","50,00",https://www.pressglass.com/wp-content/uploads/2020/08/Rw_41_IGU_8-14-4-14-84_EN.pdf,
